xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
                             {6.0} Psynergy List
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx

This is a list of all the Psynergy in the game. It is listed in alphabetical
order.

Remember, the Psynergy that you can use depends on the character, class, and
level. Naturally, you're going to get stronger Psynergy at higher levels. To
change one's class, you must set, standby, or switch your Djinn around.
Although in my opinion, I find the default ones the best, you can change them
to whatever you want. I'm not going to list which Psynergy is for which
classes though because frankly, there's a lot. Check out the good links
section to find out.

Note: There are two different attack that are labeled Nova.

+----------------------------------------------------------------------------+
| Name             | PP Used | Range | Element | Effect(if any)              |
|----------------------------------------------------------------------------|
| Angel Spear      |    7    |   1   | Jupiter | Damage                      |
| Annihilation     |    18   |   1   |  Venus  | Damage                      |
| Astral Blast     |    5    |   1   | Jupiter | Damage                      |
| Avalanche        |    15   |   5   |  Venus  | Damage                      |
| Avoid            |    5    |  None |  None   | Lowers enemy encounters.    |
| Bind             |    4    |   1   | Jupiter | Blocks a foe's Psynergy.    |
| Blast(Nova)      |    7    |   3   |  Mars   | Damage                      |
| Blast            |    5    |   3   |  Mars   | Damage                      |
| Blue Bolt        |    14   |   3   | Jupiter | Damage                      |
| Bolt             |    4    |   1   | Jupiter | Damage                      |
| Break            |    5    |  All  | Mercury | Removes enemy's stat bonuses|
| Briar            |    11   |   3   |  Venus  | Damage                      |
| Carpet Bomb      |    29   |   7   |  Mars   | Damage                      |
| Catch            |    1    |  None |  None   | Catches light objects.      |
| Carry            |    2    |  None |  None   | Lift and move objects.      |
| Clay Spire       |    13   |   3   |  Venus  | Damage                      |
| Cloak            |    1    |  None |  None   | Hides in shadows.           |
| Cluster Bomb     |    11   |   5   |  Mars   | Damage                      |
| Condemn          |    8    |   1   |  Venus  | Disables enemies.           |
| Cutting Edge     |    5    |   1   | Jupiter | Damage                      |
| Cure             |    3    |   1   |  Venus  | Restore 70 HP.              |
| Cure Poison      |    2    |   1   | Mercury | Cures poison.               |
| Cure Well        |    7    |   1   |  Venus  | Restore 160 HP.             |
| Curse            |    6    |   1   |  Venus  | Foe dies in a few turns.    |
| Death Plunge     |    14   |   1   | Jupiter | Damage                      |
| Delude           |    4    |   3   | Jupiter | Inflicts delusion.          |
| Deluge           |    20   |   5   | Mercury | Damage                      |
| Demon Night      |    12   |   3   |  Venus  | Damage                      |
| Demon Spear      |    7    |   1   | Jupiter | Raises attack.              |
| Destruct Ray     |    21   |   3   | Jupiter | Damage                      |
| Douse            |    5    |   3   | Mercury | Damage                      |
| Dragon Cloud     |    6    |   1   |  Mars   | Damage                      |
| Drain            |    3    |   1   | Jupiter | Absorbs HP.                 |
| Drench           |    10   |   3   | Mercury | Damage                      |
| Earthquake       |    7    |   5   |  Venus  | Damage                      |
| Enfeeble         |    4    |   1   | Jupiter | Drop foe's party's defense. |
| Eruption         |    14   |   3   |  Mars   | Damage                      |
| Fiery Blast      |    19   |   5   |  Mars   | Damage                      |
| Fire             |    6    |   3   |  Mars   | Damage                      |
| Fire Bomb        |    5    |   3   |  Mars   | Damage                      |
| Fireball         |    12   |   5   |  Mars   | Damage                      |
| Flare            |    4    |   3   |  Mars   | Damage                      |
| Flare Storm      |    12   |   3   |  Mars   | Damage                      |
| Flare Wall       |    7    |   3   |  Mars   | Damage                      |
| Flash Bolt       |    7    |   3   | Jupiter | Damage                      |
| Force            |    2    |  None |  None   | Knocks down distant objects.|
| Frost            |    5    |   3   | Mercury | Damage                      |
| Freeze Prism     |    31   |   5   | Mercury | Damage                      |
| Froth            |    5    |   3   | Mercury | Damage                      |
| Froth Sphere     |    12   |   5   | Mercury | Damage                      |
| Froth Spiral     |    31   |   7   | Mercury | Damage                      |
| Gaia             |    7    |   3   |  Venus  | Damage                      |
| Gale             |    3    |   3   | Jupiter | Damage                      |
| Glacier          |    15   |   3   | Mercury | Damage                      |
| Grand Gaia       |    32   |   5   |  Venus  | Damage                      |
| Growth           |    4    |   1   |  Venus  | Damage                      |
| Guard            |    3    |   1   |  Mars   | Boosts ally's defense.      |
| Guardian         |    3    |   1   |  Mars   | Boosts Defense.             |
| Hail Prism       |    16   |   5   | Mercury | Damage                      |
| Halt             |    2    |  None |  None   | Stops moving objects.       |
| Haunt            |    5    |   3   |  Venus  | Inflicts "Haunt"            |
| Heat Wave        |    6    |   1   |  Mars   | Damage                      |
| Helm Splitter    |    8    |   1   |  Venus  | Damage                      |
| High Impact      |    12   |  All  | Jupiter | Raises party's attack.      |
